categories/folders,Item Code,pic File name,Description,"oz., lb., gram, kg",Pieces Per Case,Price,Price Per Piece,Kashrut
Beans_Seeds_Spices,BAY01,BAY01.jpg,Bay Leaves 100 Packs,1 pack,100,95.00,$0.95,
Beans_Seeds_Spices,BAY02,BAY02.jpg,Bay Leaves Box 44 Lbs,44 lb,44,0.00,$0.00,
Beans_Seeds_Spices,PEP,PEP01.jpg,Black #30 Granulated Medium Pepper 50lb,,50,375.00,$7.50,
Beans_Seeds_Spices,PEP011,PEP01.jpg,Black Ground (Coarse) Pepper 5lb,,5,37.50,$7.50,
Beans_Seeds_Spices,SPI041,SPI041.jpg,Black Ground Pepper [Tin] 24/4oz (blue),,24,56.00,$2.33,
Beans_Seeds_Spices,PEP01,PEP01.jpg,Black Grounded Pepper 5lb,,5,37.50,$7.50,
Beans_Seeds_Spices,BEAN013,BEAN013.jpg,Blackeye Bean 55 lb,55 lb,55,60.50,$1.10,
Beans_Seeds_Spices,BEAN02,BEAN013.jpg,Blackeye Beans 30/12 oz,12 oz,30,49.50,$1.65,
Beans_Seeds_Spices,CARD01,CARD01.jpg,Cardamom pwd 5LB,5 lb,5,50.00,$10.00,
Beans_Seeds_Spices,CARD02,CARD02.jpg,Cardamon Seeds Decordicated (Shell removed) 55lb,55 lb,55,357.50,$6.50,
Beans_Seeds_Spices,CHIV01,CHIV01.jpg,Chives 22 lb,22 lb,22,297.62,$13.53,
Beans_Seeds_Spices,COR03,COR03.jpg,Coriander Ground 30/4 oz,4 oz,30,40.50,$1.35,
Beans_Seeds_Spices,COR00,COR00.jpg,Coriander Seed 30/4 oz,4 oz,30,40.50,$1.35,
Beans_Seeds_Spices,COR01,COR00.jpg,Coriander Seed 5 lb,5 lb,5,15.00,$3.00,
Beans_Seeds_Spices,COR011,COR00.jpg,Coriander Seed 55lb,55 lb,55,178.75,$3.25,
Beans_Seeds_Spices,CUMIN2,CUMIN0.jpg,Cumin Ground 30/4 oz,4 oz,30,25.50,$0.85,
Beans_Seeds_Spices,CUMIN0,CUMIN0.jpg,Cumin Ground 5lb,5 lb,5,20.00,$4.00,
Beans_Seeds_Spices,CUMIN1,CUMIN.jpg,Cumin Seed 30/4 oz,4 oz,30,43.50,$1.45,
Beans_Seeds_Spices,CUMIN001,CUMIN.jpg,Cumin Seed 55lb,55 lb,55,178.75,$3.25,
